Record Length,Analog:10000,
Sample Interval,Analog:5.000000E-04,
Vertical Units,CH1:V, CH2:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+1.600000E+02, CH2:+1.000000E+02, CH3:+1.000000E+02, CH4:+1.600000E+02,,
Vertical Offset,CH1:+0.000000E+00, CH2:-2.368333E+03, CH3:+0.000000E+00, CH4:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+05,
Model Number,SDS2104X Plus,
Serial Number,SDS2PDDQ6R1916,
Software Version,5.0.1.3.9R12,
Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-2.5000000000E+00,+6.666667E+01,+2.450000E+03,+2.383333E+02,-4.133334E+02
-2.4995000000E+00,+6.133334E+01,+2.392500E+03,+2.383333E+02,-4.173334E+02
-2.4990000000E+00,+6.133334E+01,+2.405833E+03,+2.383333E+02,-4.160000E+02
-2.4985000000E+00,+6.133334E+01,+2.424167E+03,+2.383333E+02,-4.186667E+02
-2.4980000000E+00,+6.133334E+01,+2.395000E+03,+2.383333E+02,-4.133334E+02
-2.4975000000E+00,+7.466667E+01,+2.791667E+03,+2.425000E+02,-3.973333E+02
-2.4970000000E+00,+5.600000E+01,+2.417500E+03,+2.375000E+02,-4.213333E+02
-2.4965000000E+00,+5.866667E+01,+2.393333E+03,+2.383333E+02,-4.186667E+02
-2.4960000000E+00,+5.866667E+01,+2.408333E+03,+2.391667E+02,-4.133334E+02
-2.4955000000E+00,+6.133334E+01,+2.431667E+03,+2.391667E+02,-4.160000E+02
-2.4950000000E+00,+6.133334E+01,+2.430000E+03,+2.383333E+02,-4.133334E+02
-2.4945000000E+00,+6.133334E+01,+2.456667E+03,+2.400000E+02,-4.133334E+02
-2.4940000000E+00,+5.600000E+01,+2.426667E+03,+2.383333E+02,-4.186667E+02
-2.4935000000E+00,+5.866667E+01,+2.462500E+03,+2.391667E+02,-4.186667E+02
-2.4930000000E+00,+5.866667E+01,+2.438333E+03,+2.383333E+02,-4.186667E+02
-2.4925000000E+00,+5.866667E+01,+2.420833E+03,+2.383333E+02,-4.186667E+02
-2.4920000000E+00,+5.866667E+01,+2.390000E+03,+2.383333E+02,-4.186667E+02
-2.4915000000E+00,+5.866667E+01,+2.414167E+03,+2.383333E+02,-4.200000E+02
-2.4910000000E+00,+6.133334E+01,+2.395000E+03,+2.383333E+02,-4.213333E+02
-2.4905000000E+00,+6.133334E+01,+2.404167E+03,+2.383333E+02,-4.226667E+02
-2.4900000000E+00,+6.133334E+01,+2.430833E+03,+2.383333E+02,-4.240000E+02
-2.4895000000E+00,+6.400001E+01,+2.386667E+03,+2.383333E+02,-4.240000E+02
